Role,Name,Email,Password
Admin,System Administrator,admin@arinze.com,admin2026
Clinician,Dr. Almeta Carter,almeta.carter@arinze.com,almeta2026
Clinician,Dr. Cecille Halvorson,cecille.halvorson@arinze.com,cecille2026
Clinician,Dr. Dinah Schaefer,dinah.schaefer@arinze.com,dinah2026
Clinician,Dr. Dong Oberbrunner,dong.oberbrunner@arinze.com,dong2026
Clinician,Dr. Eleonora Langosh,eleonora.langosh@arinze.com,eleonora2026
Clinician,Dr. Ellan Jacobi,ellan.jacobi@arinze.com,ellan2026
Clinician,Dr. Esperanza Escobedo,esperanza.escobedo@arinze.com,esperanza2026
Clinician,Dr. Franklin Bayer,franklin.bayer@arinze.com,franklin2026
Clinician,Dr. Ingrid Jacobson,ingrid.jacobson@arinze.com,ingrid2026
Clinician,Dr. Jerold Spencer,jerold.spencer@arinze.com,jerold2026
Clinician,Dr. Jodie Wintheiser,jodie.wintheiser@arinze.com,jodie2026
Clinician,Dr. Lesley Fisher,lesley.fisher@arinze.com,lesley2026
Clinician,Dr. Leslie Crona,leslie.crona@arinze.com,leslie2026
Clinician,Dr. Louetta Thompson,louetta.thompson@arinze.com,louetta2026
Clinician,Dr. Ludivina Steuber,ludivina.steuber@arinze.com,ludivina2026
Clinician,Dr. Margaret Herzog,margaret.herzog@arinze.com,margaret2026
Clinician,Dr. Melvina Glover,melvina.glover@arinze.com,melvina2026
Clinician,Dr. Nicolás Jiménez,nicols.jimnez@arinze.com,nicols2026
Clinician,Dr. Reginald Bruen,reginald.bruen@arinze.com,reginald2026
Clinician,Dr. Robbie Friesen,robbie.friesen@arinze.com,robbie2026
Clinician,Dr. Russel Walker,russel.walker@arinze.com,russel2026
Clinician,Dr. Stefania Leffler,stefania.leffler@arinze.com,stefania2026
Clinician,Dr. Terrell Fadel,terrell.fadel@arinze.com,terrell2026
Clinician,Dr. Vicente Kilback,vicente.kilback@arinze.com,vicente2026
Clinician,Dr. Wilfredo Medhurst,wilfredo.medhurst@arinze.com,wilfredo2026
Patient,Abel Dooley,abel.dooley@gmail.com,abel2026
Patient,Abraham Koss,abraham.koss@gmail.com,abraham2026
Patient,Adelaida DuBuque,adelaida.dubuque@gmail.com,adelaida2026
Patient,Adriana Hintz,adriana.hintz@gmail.com,adriana2026
Patient,Agueda Gerhold,agueda.gerhold@gmail.com,agueda2026
Patient,Ahmed Beatty,ahmed.beatty@gmail.com,ahmed2026
Patient,Ahmed O'Reilly,ahmed.oreilly@gmail.com,ahmed2026
Patient,Aisha Kassulke,aisha.kassulke@gmail.com,aisha2026
Patient,Akiko Pfannerstill,akiko.pfannerstill@gmail.com,akiko2026
Patient,Alanna Daugherty,alanna.daugherty@gmail.com,alanna2026
Patient,Alayna Beier,alayna.beier@gmail.com,alayna2026
Patient,Alberta Waters,alberta.waters@gmail.com,alberta2026
Patient,Alexander Klein,alexander.klein@gmail.com,alexander2026
Patient,Alexander Kovacek,alexander.kovacek@gmail.com,alexander2026
Patient,Alexander Robel,alexander.robel@gmail.com,alexander2026
Patient,Alexandria Hilll,alexandria.hilll@gmail.com,alexandria2026
Patient,Alla Cummings,alla.cummings@gmail.com,alla2026
Patient,Allison Howell,allison.howell@gmail.com,allison2026
Patient,Allyson Gibson,allyson.gibson@gmail.com,allyson2026
Patient,Almeta Marvin,almeta.marvin@gmail.com,almeta2026
Patient,Alycia Muller,alycia.muller@gmail.com,alycia2026
Patient,Alysia Robel,alysia.robel@gmail.com,alysia2026
Patient,Alyssa Hudson,alyssa.hudson@gmail.com,alyssa2026
Patient,Amado Botsford,amado.botsford@gmail.com,amado2026
Patient,Amee Hessel,amee.hessel@gmail.com,amee2026
Patient,Amy Prosacco,amy.prosacco@gmail.com,amy2026
Patient,Ana Bonilla,ana.bonilla@gmail.com,ana2026
Patient,Andera Lindgren,andera.lindgren@gmail.com,andera2026
Patient,Andre Grant,andre.grant@gmail.com,andre2026
Patient,Andrea Collins,andrea.collins@gmail.com,andrea2026
Patient,Angel Jacobi,angel.jacobi@gmail.com,angel2026
Patient,Angelo Conroy,angelo.conroy@gmail.com,angelo2026
Patient,Angelo Runte,angelo.runte@gmail.com,angelo2026
Patient,Anh Schaden,anh.schaden@gmail.com,anh2026
Patient,Anja Jakubowski,anja.jakubowski@gmail.com,anja2026
Patient,Anna Davis,anna.davis@gmail.com,anna2026
Patient,Antony Nikolaus,antony.nikolaus@gmail.com,antony2026
Patient,Anya Mills,anya.mills@gmail.com,anya2026
Patient,Argelia Will,argelia.will@gmail.com,argelia2026
Patient,Ariel Berge,ariel.berge@gmail.com,ariel2026
Patient,Arline Rohan,arline.rohan@gmail.com,arline2026
Patient,Armando Stiedemann,armando.stiedemann@gmail.com,armando2026
Patient,Arnette Schamberger,arnette.schamberger@gmail.com,arnette2026
Patient,Arron Morar,arron.morar@gmail.com,arron2026
Patient,Art Lesch,art.lesch@gmail.com,art2026
Patient,Ashton Mitchell,ashton.mitchell@gmail.com,ashton2026
Patient,Asuncion Heidenreich,asuncion.heidenreich@gmail.com,asuncion2026
Patient,Augustine Gorczany,augustine.gorczany@gmail.com,augustine2026
Patient,Aurelio Wehner,aurelio.wehner@gmail.com,aurelio2026
Patient,Awilda McClure,awilda.mcclure@gmail.com,awilda2026
Patient,Ayanna Krajcik,ayanna.krajcik@gmail.com,ayanna2026
Patient,Barbara Acevedo,barbara.acevedo@gmail.com,barbara2026
Patient,Barney Ledner,barney.ledner@gmail.com,barney2026
Patient,Beatriz Urías,beatriz.uras@gmail.com,beatriz2026
Patient,Bee Jacobi,bee.jacobi@gmail.com,bee2026
Patient,Bee Macejkovic,bee.macejkovic@gmail.com,bee2026
Patient,Benny Tillman,benny.tillman@gmail.com,benny2026
Patient,Betsey Funk,betsey.funk@gmail.com,betsey2026
Patient,Betsy Bashirian,betsy.bashirian@gmail.com,betsy2026
Patient,Betsy Morissette,betsy.morissette@gmail.com,betsy2026
Patient,Bibi Stoltenberg,bibi.stoltenberg@gmail.com,bibi2026
Patient,Billie Grady,billie.grady@gmail.com,billie2026
Patient,Birgit Maggio,birgit.maggio@gmail.com,birgit2026
Patient,Bob Waelchi,bob.waelchi@gmail.com,bob2026
Patient,Bonita Bernier,bonita.bernier@gmail.com,bonita2026
